p1,p2,p3,p4
0.0069507,0.0030941,0.83904,0.35282
0.011477,0.0033532,0.42895,5.9979
0.0016389,3.80E-06,1.6018,0.00471
0.017387,0.0064374,0.24538,0.36503
0.015152,0.0045939,0.3642,1.8875
0.023268,0.0024489,0.97574,3.8959
0.012433,0.0031252,1.2204,1.8234
0.0082895,0.00073787,0.94287,0.00471
0.019157,0.0015082,1.0098,8.7392
0.0086975,0.0022136,0.46546,1.9976
0.0086801,0.0030976,1.6407,13.099
0.005528,0.0018638,0.14966,2.1684
0.0037327,3.80E-06,0.72248,4.6846
0.015466,0.0035922,0.6494,2.9552
0.0073831,0.0038006,0.37522,0.69085
0.013448,0.0025662,0.40347,0.49224
0.0083276,0.0018432,0.611,1.3366
0.0091696,0.0011122,0.18911,3.212
0.011318,0.001604,0.19689,4.1062
0.013463,0.0018859,0.66139,3.3204
0.016792,0.0012101,0.58792,0.00471
0.010918,0.0001513,1.05,5.701
0.01226,0.0013656,0.58415,4.8736
0.018979,0.003936,1.3343,4.2173
0.012412,0.0067557,0.23876,0.1012
0.011343,0.00072168,1.1895,0.0047102
0.011576,0.001673,1.4865,0.00471
0.0092244,0.00079855,1.1877,3.3895
0.0094454,0.0041789,0.19242,4.3287
0.0042311,3.80E-06,0.68682,7.9986
0.013198,0.00087033,2.8511,4.0411
0.0081715,0.0045104,0.39359,0.55401
0.033912,0.0038434,0.67306,17.61
0.0071708,0.0011671,0.67415,2.8353
0.0080466,6.98E-05,0.92395,5.9703
0.011854,0.0011747,0.51068,2.4932
3.12E-05,0.00013876,5.6952,0.0098303
0.0063466,0.00062763,0.95341,2.508
0.0099142,0.00021157,0.62168,21.013
0.015155,3.80E-06,1.1893,7.4229
0.0044035,0.00028742,0.60865,7.503
0.014445,0.0047475,0.38127,7.9283
0.0055688,0.00031656,0.75345,9.7014
0.016914,0.0016225,0.43226,1.9885
0.0086657,0.0022171,0.24537,4.0961
0.012057,9.19E-05,1.042,46.89
0.016365,0.0056938,0.43411,2.6053
0.013145,0.0048188,0.36658,3.3703
0.012843,0.0054352,0.41936,3.3902
0.019776,0.0013886,0.31178,3.8159
0.0097345,0.0013562,1.8554,4.8113
0.0089872,0.0017621,6.9221,0.00471
0.007816,0.00078553,1.073,8.7878
0.01287,0.00025785,0.76021,1.8674
0.0076781,0.001356,0.36428,0.90808
0.018042,0.002708,0.7519,6.485
0.011033,0.0014775,0.34047,2.9542
0.011023,0.0020569,0.3867,3.5684
0.012715,0.0028675,0.17715,0.94113
0.010262,0.0017579,0.58471,1.8406
0.0079932,0.0018752,0.59024,3.2576
0.0095282,0.0026377,0.65765,2.6128
0.0045584,0.00051445,0.42266,6.8197
0.013948,0.0031597,0.51909,1.7074
0.0067442,0.00020395,0.96692,3.9736
0.0087844,0.0022087,0.71411,2.8769
0.011529,0.0026742,0.36116,4.0557
0.016052,0.0019174,1.18,13.34
0.0076748,0.0010734,0.36275,0.9485
0.010602,0.0047337,0.34901,2.0705
0.007948,0.00095789,2.1864,0.00471
0.00062741,0.00057061,4.6698,0.40999
0.0095931,0.00045663,1.0884,8.4323
0.004676,0.0025588,0.22844,5.7771
0.0081674,0.0017508,0.34779,0.60227
0.0083218,3.80E-06,1.1172,7.4318
0.010679,0.0033632,0.3313,3.2361
0.0087401,2.28E-05,1.4212,2.0131
0.022013,0.0021575,3.5823,4.6566
0.013211,1.53E-05,0.53651,4.5912
0.0082138,0.0015296,0.68327,4.7542
0.0073472,0.0016136,0.43334,3.3142
0.023466,0.0029267,0.4085,3.1736
0.014467,0.0014219,0.47877,0.56642
0.016429,0.0051439,0.73295,3.5895
0.013207,0.0016067,0.67633,3.5084
0.013265,0.0013599,0.3578,0.0047101
0.018977,0.0012583,0.6398,7.3483
0.01316,0.0029327,1.0033,1.7783
0.0085786,0.00072682,0.69833,11.175
0.015864,0.00088746,0.22925,2.2431
0.0073709,0.0022485,0.51333,3.3541
0.0092358,0.0030318,0.72648,12.74
0.0085636,0.0013489,0.521,5.3326
0.0066561,0.0011556,2.5523,1.7812
0.011965,0.0022948,0.48459,5.2616
0.012254,0.0012034,0.59135,7.8615
0.0071018,0.0024562,0.36742,1.1011
0.0099826,0.0014349,0.2512,3.2289
0.0053656,0.0012509,1.1026,1.2976
0.0055333,0.00029771,0.89797,2.8935
0.015296,0.0013134,0.66929,12.422
0.010838,0.0012944,0.29943,1.8219
0.01228,0.0038973,0.34227,3.5701
0.0079485,3.80E-06,0.74533,2.5726
0.011339,0.00092418,0.6149,4.5019
0.0086227,0.00077713,0.38204,6.6642
0.0056294,0.00089766,0.59634,2.7241
0.0044094,0.0037977,0.3915,0.0047101
0.012714,0.005437,0.39763,0.036142
0.0047462,0.0014608,2.7529,1.1352
0.0068539,0.0018437,0.48499,3.0245
0.010577,0.0016027,0.36158,9.1209
0.012048,0.00057143,0.4633,6.4088
0.0052537,0.0018451,1.1621,9.1211
0.014632,0.0033948,0.089545,1.1888
0.011923,0.0010148,0.3818,0.72486
0.012123,0.0038353,0.76171,0.0097249
0.0089673,0.0020956,0.77256,4.0288
0.016148,0.0041231,0.20365,2.8427
0.0058285,7.10E-05,0.33346,8.3468
0.0075884,0.0014813,1.3554,0.00471
0.006585,0.00066136,0.50505,1.6637
0.011189,0.0012573,0.28418,3.0636
